П1 | И1: 0 | И2: 0 | Счет И1: 0 | Счет И2: 0
П1 | И1: 0 | И2: 0 | Счет И1: 0 | Счет И2: 0
П1 | И1: 0 | И2: 0 | Счет И1: 0 | Счет И2: 0
П1 | И1: 0 | И2: 1 | Счет И1: 500 | Счет И2: 0
П1 | И1: 1 | И2: 1 | Счет И1: 600 | Счет И2: 100
П1 | И1: 1 | И2: 1 | Счет И1: 700 | Счет И2: 200

П2 | И1: 0 | И2: 1 | Счет И1: 500 | Счет И2: 0
П2 | И1: 1 | И2: 1 | Счет И1: 600 | Счет И2: 100
П2 | И1: 0 | И2: 0 | Счет И1: 600 | Счет И2: 100
П2 | И1: 1 | И2: 0 | Счет И1: 600 | Счет И2: 600
П2 | И1: 0 | И2: 0 | Счет И1: 600 | Счет И2: 600
П2 | И1: 1 | И2: 0 | Счет И1: 600 | Счет И2: 1100
П2 | И1: 0 | И2: 0 | Счет И1: 600 | Счет И2: 1100

